Name,Height,Mountain Group,Link
Ricovero Igor Crasso,1665 m,,https://www.hribi.net/gora/ricovero_igor_crasso/1/4063
Jehlc (Špičasta kupa),1662 m,,https://www.hribi.net/gora/jehlc_spicasta_kupa/1/1114
Rifugio di Brazza,1660 m,,https://www.hribi.net/gora/rifugio_di_brazza/1/429
Planina Ovčarija,1660 m,,https://www.hribi.net/gora/planina_ovcarija/1/157
Zavetišče pod Ponco,1657 m,,https://www.hribi.net/gora/zavetisce_pod_ponco/1/1047
Lisc (Lisec),1653 m,,https://www.hribi.net/gora/lisc_lisec/1/3520
Florjanka / Monte Florianca,1653 m,,https://www.hribi.net/gora/florjanka___monte_florianca/1/2797
Svinjak,1653 m,,https://www.hribi.net/gora/svinjak/1/419
Planina pod Mišelj vrhom,1645 m,,https://www.hribi.net/gora/planina_pod_miselj_vrhom/1/292
Matajur,1642 m,,https://www.hribi.net/gora/matajur/1/747
Gabrovec (Veliki Muzec),1630 m,,https://www.hribi.net/gora/gabrovec_veliki_muzec/1/1394
Blejska koča na Lipanci,1630 m,,https://www.hribi.net/gora/blejska_koca_na_lipanci/1/76
Planina Viševnik,1625 m,,https://www.hribi.net/gora/planina_visevnik/1/255
Bivak Dino Brollo,1621 m,,https://www.hribi.net/gora/bivak_dino_brollo/1/4233
Vošni vrh,1621 m,,https://www.hribi.net/gora/vosni_vrh/1/2138
Tičarjev dom na Vršiču,1618 m,,https://www.hribi.net/gora/ticarjev_dom_na_vrsicu/1/262
Breški Jalovec / Punta di Montemaggiore,1613 m,,https://www.hribi.net/gora/breski_jalovec___punta_di_montemaggiore/1/1395
Muzec - Musc (Mali Muzec),1612 m,,https://www.hribi.net/gora/muzec_-_musc_mali_muzec/1/825
Slatnik (severozahodni vrh),1609 m,,https://www.hribi.net/gora/slatnik_severozahodni_vrh/1/290
Možic,1602 m,,https://www.hribi.net/gora/mozic/1/205
Planina za Migovcem,1600 m,1600 m,https://www.hribi.net/gora/planina_za_migovcem/1/1887
Slatnik (jugovzhodni vrh),1597 m,,https://www.hribi.net/gora/slatnik_jugovzhodni_vrh/1/2518
Nemške glave,1597 m,,https://www.hribi.net/gora/nemske_glave/1/1498
Jerebikovec,1593 m,,https://www.hribi.net/gora/jerebikovec/1/394
Lovska koča Berebica,1590 m,,https://www.hribi.net/gora/lovska_koca_berebica/1/3564
Bivak Stuparich,1587 m,,https://www.hribi.net/gora/bivak_stuparich/1/1338
Brinova glava,1586 m,,https://www.hribi.net/gora/brinova_glava/1/3568
Šavnik,1574 m,,https://www.hribi.net/gora/savnik/1/437
Grušnica,1570 m,,https://www.hribi.net/gora/grusnica/1/2632
Višarska planina / Malga di Lussari,1570 m,,https://www.hribi.net/gora/visarska_planina___malga_di_lussari/1/822
Visoki Mavrinc,1562 m,,https://www.hribi.net/gora/visoki_mavrinc/1/1267
Planina v Lazu,1560 m,,https://www.hribi.net/gora/planina_v_lazu/1/243
Planina Dedno Polje,1560 m,,https://www.hribi.net/gora/planina_dedno_polje/1/156
Planina Lopučnica,1558 m,,https://www.hribi.net/gora/planina_lopucnica/1/606
Javoršček,1557 m,,https://www.hribi.net/gora/javorscek/1/1536
Planina Klek,1556 m,,https://www.hribi.net/gora/planina_klek/1/341
Mojčin dom na Vitrancu,1555 m,,https://www.hribi.net/gora/mojcin_dom_na_vitrancu/1/710
Planja (nad Mangartsko planino),1553 m,,https://www.hribi.net/gora/planja_nad_mangartsko_planino/1/2992
Bivak pod Muzcem,1550 m,,https://www.hribi.net/gora/bivak_pod_muzcem/1/826
Lajnar,1549 m,,https://www.hribi.net/gora/lajnar/1/435
Planina v Plazeh,1548 m,,https://www.hribi.net/gora/planina_v_plazeh/1/1604
Dravh,1547 m,,https://www.hribi.net/gora/dravh/1/434
Dom na Matajure,1545 m,,https://www.hribi.net/gora/dom_na_matajure/1/1537
Požar,1543 m,,https://www.hribi.net/gora/pozar/1/1815
Kravja Črna gora,1541 m,,https://www.hribi.net/gora/kravja_crna_gora/1/732
Visoka glava (na Matajurju),1540 m,,https://www.hribi.net/gora/visoka_glava_na_matajurju/1/2999
Mesnovec,1538 m,,https://www.hribi.net/gora/mesnovec/1/1699
Planinska koča Merjasec,1535 m,,https://www.hribi.net/gora/planinska_koca_merjasec/1/587
Viška planina,1530 m,,https://www.hribi.net/gora/viska_planina/1/1283
Planina na Polju,1530 m,,https://www.hribi.net/gora/planina_na_polju/1/417
Lovska koča na Glinu,1527 m,,https://www.hribi.net/gora/lovska_koca_na_glinu/1/2185
Erjavčeva koča na Vršiču,1525 m,,https://www.hribi.net/gora/erjavceva_koca_na_vrsicu/1/272
Rifugio Cinque Punte,1520 m,,https://www.hribi.net/gora/rifugio_cinque_punte/1/1281
Dom na Komni,1520 m,,https://www.hribi.net/gora/dom_na_komni/1/102
Planina Ravna,1515 m,,https://www.hribi.net/gora/planina_ravna/1/1527
Krevl,1515 m,,https://www.hribi.net/gora/krevl/1/731
Koča pod Bogatinom,1513 m,,https://www.hribi.net/gora/koca_pod_bogatinom/1/198
Planina Za skalo,1510 m,,https://www.hribi.net/gora/planina_za_skalo/1/1059
Malga Granuda,1501 m,,https://www.hribi.net/gora/malga_granuda/1/3575
Lovska koča Na Utrci,1500 m,1500 m,https://www.hribi.net/gora/lovska_koca_na_utrci/1/1347
Rifugio Pellarini,1499 m,,https://www.hribi.net/gora/rifugio_pellarini/1/1530
Lengarjeva glava,1498 m,,https://www.hribi.net/gora/lengarjeva_glava/1/1814
Kobla,1498 m,,https://www.hribi.net/gora/kobla/1/373
Planina na Kalu,1490 m,,https://www.hribi.net/gora/planina_na_kalu/1/2101
Nizki vrh,1488 m,,https://www.hribi.net/gora/nizki_vrh/1/2152
Črni vrh / Colrotondo,1486 m,,https://www.hribi.net/gora/crni_vrh___colrotondo/1/3025
Planina Vodični vrh,1486 m,,https://www.hribi.net/gora/planina_vodicni_vrh/1/1989
Javorov vrh (Pokljuka),1482 m,,https://www.hribi.net/gora/javorov_vrh_pokljuka/1/1440
Planina Govnjač,1480 m,,https://www.hribi.net/gora/planina_govnjac/1/449
Bivak pod Luknjo,1480 m,,https://www.hribi.net/gora/bivak_pod_luknjo/1/241
Kobilja glava,1475 m,,https://www.hribi.net/gora/kobilja_glava/1/1240
Planina Poljana,1466 m,,https://www.hribi.net/gora/planina_poljana/1/1100
Vrtaška planina,1462 m,,https://www.hribi.net/gora/vrtaska_planina/1/308
Koča na Planini pri Jezeru,1453 m,,https://www.hribi.net/gora/koca_na_planini_pri_jezeru/1/140
Jalovnik,1452 m,,https://www.hribi.net/gora/jalovnik/1/1241
Planina Kanin / Casera Canin,1450 m,,https://www.hribi.net/gora/planina_kanin___casera_canin/1/4048
Planina Sleme,1448 m,,https://www.hribi.net/gora/planina_sleme/1/1594
Laghetto di Somdogna,1447 m,,https://www.hribi.net/gora/laghetto_di_somdogna/1/3565
Risnati rob (Polevec),1438 m,,https://www.hribi.net/gora/risnati_rob_polevec/1/3299
Planina Konjščica,1438 m,,https://www.hribi.net/gora/planina_konjscica/1/137
Rifugio Brunner,1432 m,,https://www.hribi.net/gora/rifugio_brunner/1/3111
Bivak pod Špikom,1424 m,,https://www.hribi.net/gora/bivak_pod_spikom/1/340
Planina Zadnji Vogel,1413 m,,https://www.hribi.net/gora/planina_zadnji_vogel/1/1899
Planina Zgornja Gorjuda,1404 m,,https://www.hribi.net/gora/planina_zgornja_gorjuda/1/1040
Planina nad Sočo,1400 m,,https://www.hribi.net/gora/planina_nad_soco/1/1618
Planina Osredki,1400 m,1400 m,https://www.hribi.net/gora/planina_osredki/1/1101
Krnsko jezero,1391 m,,https://www.hribi.net/gora/krnsko_jezero/1/163
Mali vrh (na Mežakli),1389 m,,https://www.hribi.net/gora/mali_vrh_na_mezakli/1/3297
Rifugio Grego,1389 m,,https://www.hribi.net/gora/rifugio_grego/1/656
Planina Zapotok,1385 m,,https://www.hribi.net/gora/planina_zapotok/1/3446
Planina Suha,1385 m,,https://www.hribi.net/gora/planina_suha/1/311
Dom pri Krnskih jezerih,1385 m,,https://www.hribi.net/gora/dom_pri_krnskih_jezerih/1/162
Tonkina koča na Vršiču,1380 m,,https://www.hribi.net/gora/tonkina_koca_na_vrsicu/1/2440
Rifugio Zacchi,1380 m,,https://www.hribi.net/gora/rifugio_zacchi/1/1048
Planica (pod Krnom),1376 m,,https://www.hribi.net/gora/planica_pod_krnom/1/1776
Lipenšči hrib,1375 m,,https://www.hribi.net/gora/lipensci_hrib/1/2324
Mali Karman / Monte Cuarnan,1372 m,,https://www.hribi.net/gora/mali_karman___monte_cuarnan/1/2375
Javor (nad Tolminskimi Ravnami),1363 m,,https://www.hribi.net/gora/javor_nad_tolminskimi_ravnami/1/2633
Mrzli vrh nad planino Pretovč,1359 m,,https://www.hribi.net/gora/mrzli_vrh_nad_planino_pretovc/1/1773
Planina Strehica,1359 m,,https://www.hribi.net/gora/planina_strehica/1/1528
Mrzli vrh (na Matajurju),1358 m,,https://www.hribi.net/gora/mrzli_vrh_na_matajurju/1/749
Planina Zaslap,1357 m,,https://www.hribi.net/gora/planina_zaslap/1/4272
Črna gora,1350 m,,https://www.hribi.net/gora/crna_gora/1/345
Orožnova koča na planini za Liscem,1346 m,,https://www.hribi.net/gora/oroznova_koca_na_planini_za_liscem/1/158
Škrbinjek,1341 m,,https://www.hribi.net/gora/skrbinjek/1/3821
Bivak Za Akom,1340 m,,https://www.hribi.net/gora/bivak_za_akom/1/1097
Planina Za Črno goro,1340 m,,https://www.hribi.net/gora/planina_za_crno_goro/1/584
Planina Goričica,1336 m,,https://www.hribi.net/gora/planina_goricica/1/416
Frčkova planina,1335 m,,https://www.hribi.net/gora/frckova_planina/1/2139
Srednji vrh (na Matajurju),1320 m,,https://www.hribi.net/gora/srednji_vrh_na_matajurju/1/2998
Planina za Šavnikom,1320 m,,https://www.hribi.net/gora/planina_za_savnikom/1/436
Koča na planini Razor,1315 m,,https://www.hribi.net/gora/koca_na_planini_razor/1/684
Kota 1313,1313 m,,https://www.hribi.net/gora/kota_1313/1/1330
Koča na Soriški planini,1306 m,,https://www.hribi.net/gora/koca_na_soriski_planini/1/204
Planina Dobrenjščica,1304 m,,https://www.hribi.net/gora/planina_dobrenjscica/1/1601
Lovska koča Bala,1300 m,1300 m,https://www.hribi.net/gora/lovska_koca_bala/1/1376
Mangartska planina,1295 m,,https://www.hribi.net/gora/mangartska_planina/1/2673
Črno jezero,1294 m,,https://www.hribi.net/gora/crno_jezero/1/132
Planina Zajavornik,1292 m,,https://www.hribi.net/gora/planina_zajavornik/1/540
Planina Zajamniki,1280 m,,https://www.hribi.net/gora/planina_zajamniki/1/1996
Vrh Bače,1273 m,,https://www.hribi.net/gora/vrh_bace/1/1486
Rečiška planina,1265 m,,https://www.hribi.net/gora/reciska_planina/1/3197
Galetovec,1265 m,,https://www.hribi.net/gora/galetovec/1/832
Berjanca,1264 m,,https://www.hribi.net/gora/berjanca/1/3196
Zgornji Goreljek (Pokljuka),1260 m,,https://www.hribi.net/gora/zgornji_goreljek_pokljuka/1/2774
Planina Krnica,1252 m,,https://www.hribi.net/gora/planina_krnica/1/421
Planina Slapnik,1250 m,,https://www.hribi.net/gora/planina_slapnik/1/4271
Idrska planina,1250 m,,https://www.hribi.net/gora/idrska_planina/1/748
Planina Zgornja Grintovica,1250 m,,https://www.hribi.net/gora/planina_zgornja_grintovica/1/247
Turn (nad Bohinjsko Belo),1249 m,,https://www.hribi.net/gora/turn_nad_bohinjsko_belo/1/2785
Planina Berebica,1248 m,,https://www.hribi.net/gora/planina_berebica/1/3563
Planina Zagreben,1240 m,,https://www.hribi.net/gora/planina_zagreben/1/2984
Belska planina,1237 m,,https://www.hribi.net/gora/belska_planina/1/2786
Izvir Nadiže,1232 m,,https://www.hribi.net/gora/izvir_nadize/1/3086
Planina Zgornji Kozjek,1230 m,,https://www.hribi.net/gora/planina_zgornji_kozjek/1/3203
Planina Leskovca,1230 m,,https://www.hribi.net/gora/planina_leskovca/1/329
Koča na Gozdu,1226 m,,https://www.hribi.net/gora/koca_na_gozdu/1/270
Bivak Hlek,1225 m,,https://www.hribi.net/gora/bivak_hlek/1/764
Spodnji Goreljek (Pokljuka),1222 m,,https://www.hribi.net/gora/spodnji_goreljek_pokljuka/1/2775
Italijanska vojaška kapela na Planici,1220 m,,https://www.hribi.net/gora/italijanska_vojaska_kapela_na_planici/1/1775
Svinska planina,1214 m,,https://www.hribi.net/gora/svinska_planina/1/746
Grajska planina (Ribšca),1210 m,,https://www.hribi.net/gora/grajska_planina_ribsca/1/3198
Škrbina (Mežakla),1210 m,,https://www.hribi.net/gora/skrbina_mezakla/1/1256
Planina Zaprikraj,1208 m,,https://www.hribi.net/gora/planina_zaprikraj/1/683
Planina Zapleč,1201 m,1200 m,https://www.hribi.net/gora/planina_zaplec/1/4041
Lovska koča Mali Vokel,1193 m,,https://www.hribi.net/gora/lovska_koca_mali_vokel/1/3195
Lovčev bivak Pri Koucah,1192 m,,https://www.hribi.net/gora/lovcev_bivak_pri_koucah/1/1484
Police,1184 m,,https://www.hribi.net/gora/police/1/2491
Planina Bala,1181 m,,https://www.hribi.net/gora/planina_bala/1/1375
Planina Spodnja Grintovica,1175 m,,https://www.hribi.net/gora/planina_spodnja_grintovica/1/246
Planina Ilovec,1170 m,,https://www.hribi.net/gora/planina_ilovec/1/2787
Planina Pretovč,1160 m,,https://www.hribi.net/gora/planina_pretovc/1/1772
Bivak na Črniku,1160 m,,https://www.hribi.net/gora/bivak_na_crniku/1/758
Koča na Uskovnici,1154 m,,https://www.hribi.net/gora/koca_na_uskovnici/1/342
Zgornji Martuljkov slap,1150 m,,https://www.hribi.net/gora/zgornji_martuljkov_slap/1/220
Planina Blato,1147 m,,https://www.hribi.net/gora/planina_blato/1/1547
Gozdarska koča Mali Vokel,1145 m,,https://www.hribi.net/gora/gozdarska_koca_mali_vokel/1/3193
Zapotoški slapovi,1140 m,,https://www.hribi.net/gora/zapotoski_slapovi/1/3558
Planina Medrja,1133 m,,https://www.hribi.net/gora/planina_medrja/1/1593
Snežna jama na Mežakli,1130 m,,https://www.hribi.net/gora/snezna_jama_na_mezakli/1/1930
Ruska kapelica,1130 m,,https://www.hribi.net/gora/ruska_kapelica/1/271
Bedančev dom,1116 m,,https://www.hribi.net/gora/bedancev_dom/1/2659
Slap Curk,1115 m,,https://www.hribi.net/gora/slap_curk/1/4023
Koča v Krnici,1113 m,,https://www.hribi.net/gora/koca_v_krnici/1/206
Dom v Tamarju,1108 m,,https://www.hribi.net/gora/dom_v_tamarju/1/286
Hotunjski vrh,1107 m,1100 m,https://www.hribi.net/gora/hotunjski_vrh/1/2763
Planina Lom,1090 m,,https://www.hribi.net/gora/planina_lom/1/1243
Mihov dom na Vršiču,1085 m,,https://www.hribi.net/gora/mihov_dom_na_vrsicu/1/269
Kobala,1080 m,,https://www.hribi.net/gora/kobala/1/1242
Malga Cuarnan,1070 m,,https://www.hribi.net/gora/malga_cuarnan/1/3101
Planina v Prodih,1070 m,,https://www.hribi.net/gora/planina_v_prodih/1/2948
Kosijev dom na Vogarju,1054 m,,https://www.hribi.net/gora/kosijev_dom_na_vogarju/1/184
Slapovi v Kotu,1050 m,,https://www.hribi.net/gora/slapovi_v_kotu/1/3333
Partizanska bolnišnica na Mežakli,1050 m,,https://www.hribi.net/gora/partizanska_bolnisnica_na_mezakli/1/1260
Koča na planini Stador,1050 m,,https://www.hribi.net/gora/koca_na_planini_stador/1/1174
Kup,1046 m,,https://www.hribi.net/gora/kup/1/1482
Planina Obranica,1035 m,,https://www.hribi.net/gora/planina_obranica/1/1254
Planinsko zavetišče Slatna,1023 m,,https://www.hribi.net/gora/planinsko_zavetisce_slatna/1/3151
Vodnikov razglednik,1017 m,,https://www.hribi.net/gora/vodnikov_razglednik/1/2606
Aljažev dom v Vratih,1015 m,,https://www.hribi.net/gora/aljazev_dom_v_vratih/1/242
Jezerska planina / Alpe del Lago,1006 m,,https://www.hribi.net/gora/jezerska_planina___alpe_del_lago/1/3024
Planina za Jamo,1005 m,,https://www.hribi.net/gora/planina_za_jamo/1/833
Studor,1002 m,,https://www.hribi.net/gora/studor/1/2562
Koča na planini Kuhinja,1002 m,,https://www.hribi.net/gora/koca_na_planini_kuhinja/1/724
Klatnica,1000 m,,https://www.hribi.net/gora/klatnica/1/2154
Planina Laška seč,1000 m,1000 m,https://www.hribi.net/gora/planina_laska_sec/1/1592
Izvir Soče,990 m,,https://www.hribi.net/gora/izvir_soce/1/425
Sveta Marjeta pod Stolom,973 m,,https://www.hribi.net/gora/sveta_marjeta_pod_stolom/1/1393
Ožarjeni kamen,960 m,,https://www.hribi.net/gora/ozarjeni_kamen/1/2996
Planina Ravne,956 m,,https://www.hribi.net/gora/planina_ravne/1/2492
Slap Suha,950 m,,https://www.hribi.net/gora/slap_suha/1/222
Rudnica,946 m,,https://www.hribi.net/gora/rudnica/1/1517
Boršt,931 m,,https://www.hribi.net/gora/borst/1/2469
Slap Zaročenca,930 m,,https://www.hribi.net/gora/slap_zarocenca/1/1762
Ingotova koča na planini Jesenje,930 m,,https://www.hribi.net/gora/ingotova_koca_na_planini_jesenje/1/219
Zgornje Mangartsko jezero,929 m,,https://www.hribi.net/gora/zgornje_mangartsko_jezero/1/430
Spodnje Mangartsko jezero,924 m,,https://www.hribi.net/gora/spodnje_mangartsko_jezero/1/2516
Planina Rčitno,900 m,900 m,https://www.hribi.net/gora/planina_rcitno/1/1787
Kres nad Kočno,890 m,,https://www.hribi.net/gora/kres_nad_kocno/1/2452
Planina Blatce,888 m,,https://www.hribi.net/gora/planina_blatce/1/2932
Kovinarska koča v Krmi,870 m,,https://www.hribi.net/gora/kovinarska_koca_v_krmi/1/1786
Vrše,850 m,,https://www.hribi.net/gora/vrse/1/2468
Izvir Boke,850 m,,https://www.hribi.net/gora/izvir_boke/1/1049
Slap Peričnik - zgornji slap,850 m,,https://www.hribi.net/gora/slap_pericnik_-_zgornji_slap/1/473
Spodnji Martuljkov slap,850 m,,https://www.hribi.net/gora/spodnji_martuljkov_slap/1/218
Zelenci,845 m,,https://www.hribi.net/gora/zelenci/1/228
Grančišče,844 m,,https://www.hribi.net/gora/grancisce/1/1811
Logje,840 m,,https://www.hribi.net/gora/logje/1/231
Hom pri Bledu,834 m,,https://www.hribi.net/gora/hom_pri_bledu/1/2463
Jezero Jasna,830 m,,https://www.hribi.net/gora/jezero_jasna/1/2830
Pokljuška soteska (luknja),830 m,,https://www.hribi.net/gora/pokljuska_soteska_luknja/1/1270
Poljanska baba,830 m,,https://www.hribi.net/gora/poljanska_baba/1/1255
Brezje / Montemaggiore,819 m,,https://www.hribi.net/gora/brezje___montemaggiore/1/2153
Sv. Peter in Pavel (Perati),812 m,,https://www.hribi.net/gora/sv_peter_in_pavel_perati/1/3001
Humčič,810 m,,https://www.hribi.net/gora/humcic/1/1332
Žerjavec (Kavče),805 m,,https://www.hribi.net/gora/zerjavec_kavce/1/2457
Koča na Petrovem Brdu,804 m,,https://www.hribi.net/gora/koca_na_petrovem_brdu/1/1475
Planina Črča,800 m,,https://www.hribi.net/gora/planina_crca/1/1591
Slap Peričnik - spodnji slap,800 m,800 m,https://www.hribi.net/gora/slap_pericnik_-_spodnji_slap/1/474
Slap Savica,794 m,,https://www.hribi.net/gora/slap_savica/1/532
Počitniški dom v Možnici,793 m,,https://www.hribi.net/gora/pocitniski_dom_v_moznici/1/229
Kamin Široka polica,780 m,,https://www.hribi.net/gora/kamin_siroka_polica/1/3425
Slap Mostnice,773 m,,https://www.hribi.net/gora/slap_mostnice/1/2931
Rio Bianco / Beli potok,770 m,,https://www.hribi.net/gora/rio_bianco___beli_potok/1/2269
Korita Mlinarice,770 m,,https://www.hribi.net/gora/korita_mlinarice/1/424
Sveti Lenart (Bača pri Podbrdu),751 m,,https://www.hribi.net/gora/sveti_lenart_baca_pri_podbrdu/1/1928
Koča pri Peričniku,750 m,,https://www.hribi.net/gora/koca_pri_pericniku/1/1939
Slap Slatenik,750 m,,https://www.hribi.net/gora/slap_slatenik/1/406
Okrepčevalnica Slap Voje,745 m,,https://www.hribi.net/gora/okrepcevalnica_slap_voje/1/2930
Gogalova lipa,725 m,,https://www.hribi.net/gora/gogalova_lipa/1/2439
Mladinski izobraževalni center v Bavšici,725 m,,https://www.hribi.net/gora/mladinski_izobrazevalni_center_v_bavsici/1/230
Jamnikov spodmol,720 m,,https://www.hribi.net/gora/jamnikov_spodmol/1/2576
Belopotoški slap,720 m,,https://www.hribi.net/gora/belopotoski_slap/1/407
Jezero Kreda,715 m,,https://www.hribi.net/gora/jezero_kreda/1/2436
Žlejžn,710 m,,https://www.hribi.net/gora/zlejzn/1/4208
Dolina Škratov,700 m,,https://www.hribi.net/gora/dolina_skratov/1/405
Slap Parabola,700 m,700 m,https://www.hribi.net/gora/slap_parabola/1/233
Izvir Tolminke,695 m,,https://www.hribi.net/gora/izvir_tolminke/1/412
Mala Osojnica,691 m,,https://www.hribi.net/gora/mala_osojnica/1/1249
Koča na Vojah,690 m,,https://www.hribi.net/gora/koca_na_vojah/1/580
Gorejca,680 m,,https://www.hribi.net/gora/gorejca/1/393
Slap Boka,680 m,,https://www.hribi.net/gora/slap_boka/1/392
Jezero Kreda v dolini Radovne,674 m,,https://www.hribi.net/gora/jezero_kreda_v_dolini_radovne/1/3104
Izvir Bele,665 m,,https://www.hribi.net/gora/izvir_bele/1/2157
Izvir Lipnika,660 m,,https://www.hribi.net/gora/izvir_lipnika/1/3102
Spominsko obeležje Aleš Kunaver,660 m,,https://www.hribi.net/gora/spominsko_obelezje_ales_kunaver/1/2453
Jezerce v dolini Radovne,657 m,,https://www.hribi.net/gora/jezerce_v_dolini_radovne/1/3103
Koča pri Savici,653 m,,https://www.hribi.net/gora/koca_pri_savici/1/2773
Peč (razgledišče),650 m,,https://www.hribi.net/gora/pec_razgledisce/1/2637
Straža,646 m,,https://www.hribi.net/gora/straza/1/1250
Marija Snežna v Breginjskem kotu,645 m,,https://www.hribi.net/gora/marija_snezna_v_breginjskem_kotu/1/1406
Sveta Katarina na Homu,634 m,,https://www.hribi.net/gora/sveta_katarina_na_homu/1/2443
Izvir Bohinjske Bistrice,630 m,,https://www.hribi.net/gora/izvir_bohinjske_bistrice/1/1584
Poglejska cerkev,630 m,,https://www.hribi.net/gora/poglejska_cerkev/1/1253
Dobra gora,620 m,600 m,https://www.hribi.net/gora/dobra_gora/1/1783
Blejski grad,599 m,,https://www.hribi.net/gora/blejski_grad/1/2490
Ribenska gora,588 m,,https://www.hribi.net/gora/ribenska_gora/1/1589
Ajdovski gradec,580 m,,https://www.hribi.net/gora/ajdovski_gradec/1/2615
Korita Možnice (Nemčlje),580 m,,https://www.hribi.net/gora/korita_moznice_nemclje/1/428
Javorca,571 m,,https://www.hribi.net/gora/javorca/1/411
Planina Prode,555 m,,https://www.hribi.net/gora/planina_prode/1/4209
Jama Srnica,550 m,,https://www.hribi.net/gora/jama_srnica/1/1331
Iglica,550 m,,https://www.hribi.net/gora/iglica/1/831
Sveti Janez Krstnik (Ribčev Laz),532 m,,https://www.hribi.net/gora/sveti_janez_krstnik_ribcev_laz/1/2772
Slap Šum v Blejskem Vintgarju,520 m,,https://www.hribi.net/gora/slap_sum_v_blejskem_vintgarju/1/2442
Mlina peč,506 m,,https://www.hribi.net/gora/mlina_pec/1/3199
Žičnica čez Tolminko,500 m,,https://www.hribi.net/gora/zicnica_cez_tolminko/1/413
Tonovcov grad pri Kobaridu,500 m,500 m,https://www.hribi.net/gora/tonovcov_grad_pri_kobaridu/1/396
Gradišče (Bodešče),499 m,,https://www.hribi.net/gora/gradisce_bodesce/1/2325
Sveti Lenart (Bodešče),485 m,,https://www.hribi.net/gora/sveti_lenart_bodesce/1/2326
Velika korita Soče,480 m,,https://www.hribi.net/gora/velika_korita_soce/1/427
Blejsko jezero,475 m,,https://www.hribi.net/gora/blejsko_jezero/1/3353
Slap Beri,454 m,,https://www.hribi.net/gora/slap_beri/1/1126
Izvir Glijuna,450 m,,https://www.hribi.net/gora/izvir_glijuna/1/234
Mala Boka,440 m,,https://www.hribi.net/gora/mala_boka/1/1337
Kozlov rob,426 m,,https://www.hribi.net/gora/kozlov_rob/1/1757
Slap Sopota (Soupat),400 m,,https://www.hribi.net/gora/slap_sopota_soupat/1/690
Slap Virje,400 m,400 m,https://www.hribi.net/gora/slap_virje/1/232
Gregorčičev slap,390 m,,https://www.hribi.net/gora/gregorcicev_slap/1/2975
Korita Soče pri Kršovcu,390 m,300 m,https://www.hribi.net/gora/korita_soce_pri_krsovcu/1/235
Slap Veliki Kozjak,250 m,,https://www.hribi.net/gora/slap_veliki_kozjak/1/403
Slap Mali Kozjak,230 m,200 m,https://www.hribi.net/gora/slap_mali_kozjak/1/404
Tolminska korita,180 m,,https://www.hribi.net/gora/tolminska_korita/1/1341
